#	read_first	collect_read	read_second	collect_final	collect_lfp	collect_overlap	ortholog_init	orthologs	inparalogs	co_orthologs	write_result	complete	blast_parsing	blast_filtering	#
1	      0.01	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.02	      0.02	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.02	      0.01	      0.01	#
2	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.02	      0.01	      0.01	#
2	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
5	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.01	      0.00	      0.01	#
4	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
3	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.01	#
2	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.00	      0.01	      0.00	      0.01	#
2	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
1	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.01	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.01	      0.00	      0.01	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	#
2	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
5	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
4	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.01	      0.00	      0.01	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	#
3	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.01	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.03	      0.04	      0.01	      0.03	#
2	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
2	      0.00	      0.00	      0.01	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.01	      0.01	      0.00	#
